salarymaxvalue
"90000"
"2500"
"120000"
"120000"
"120000"
"80000"
"80000"
"150000"
"36000"
"120000"
"120000"
"120000"
"70000"
"120000"
"150000"
"175000"
"125000"
"42000"
"140000"
"95000"
"1"
"70000"
"42000"
"120000"
"90000"
"130000"
"150000"
"140000"
"190000"
"145000"
"110000"
"140000"
"120000"
"150000"
"50000"
"80000"
"100000"
"70000"
"175000"
"115000"
"70000"
"150000"
"120000"
"30000"
"25000"
"125000"
"150000"
"150000"
"100000"
"100000"
"40000"
"80000"
"60000"
"50"
"110000"
"150000"
"85000"
"125000"
"160000"
"60000"
"20000"
"140000"
"120000"
"150000"
"20000"
"100000"
"150000"
"125000"
"175000"
"120000"
"115000"
"120000"
"80000"
"30000"
"80000"
"60000"
"100000"
"48000"
"80000"
"70000"
"160000"
"120000"
"110000"
"120000"
"115000"
"50000"
"80000"
"70000"
"80000"
"110000"
"50"
"100000"
"100000"
"110000"
"80000"
"70000"
"70000"
"95000"
"150000"
"115000"
"80000"
"50000"
"25000"
"70000"
"120000"
"130000"
"150000"
"90000"
"130000"
"75000"
"130000"
"200000"
"135000"
"120000"
"125000"
"125000"
"120000"
"65000"
"100000"
"125000"
"120000"
"165000"
"175000"
"60000"
"60000"
"110000"
"120000"
"60000"
"130000"
"100000"
"130000"
"90000"
"150000"
"240000"
"120000"
"160000"
"42000"
"80000"
"180000"
"120000"
"125000"
"25000"
"150000"
"150000"
"75000"
"114000"
"50000"
"74000"
"50000"
"110000"
"80000"
"100000"
"120000"
"130000"
"120000"
"110000"
"149000"
"220000"
"250000"
"99000"
"70000"
"80000"
